dept_name,emp_no,first_name,last_name,birth_date,gender,title,from_date,to_date
Development,423633,Mariusz,Tokunaga,1965-01-30,F,Senior Engineer,1985-02-11,9999-01-01
Development,403010,Toshimitsu,Sluis,1965-01-16,M,Senior Engineer,1985-02-18,9999-01-01
Development,289454,Bowen,Narwekar,1965-01-20,M,Senior Engineer,1985-03-08,9999-01-01
Development,216375,Byong,Gustavson,1965-01-16,M,Senior Engineer,1985-03-12,9999-01-01
Production,208784,Pranjal,Juneja,1965-01-30,F,Senior Engineer,1985-03-21,9999-01-01
Production,88422,Jungsoon,Birsak,1965-01-28,M,Technique Leader,1985-04-03,9999-01-01
Research,476361,Doohun,Preusig,1965-01-09,M,Technique Leader,1985-04-13,9999-01-01
Production,52038,Chikako,Armand,1965-01-13,M,Senior Engineer,1985-05-18,9999-01-01
Development,78871,Conor,Ghandeharizadeh,1965-01-15,M,Senior Engineer,1985-05-25,9999-01-01
Production,262636,Tamiya,Reutenauer,1965-01-04,F,Senior Engineer,1985-06-02,9999-01-01
Marketing,248351,Jaana,Milicia,1965-02-01,M,Senior Staff,1985-06-02,9999-01-01
Production,255466,Huan,Roccetti,1965-01-18,M,Senior Engineer,1985-07-03,9999-01-01
Customer Service,295030,Fun,Keirsey,1965-01-01,M,Senior Staff,1985-07-09,9999-01-01
Production,73233,Shigeo,Merey,1965-01-15,F,Senior Engineer,1985-07-30,9999-01-01
Development,80889,Shigeo,Linnainmaa,1965-01-07,F,Senior Engineer,1985-07-30,9999-01-01
Production,445941,Masako,Dechter,1965-01-11,M,Technique Leader,1985-09-25,9999-01-01
Customer Service,53431,Sham,Vasanthakumar,1965-01-12,M,Senior Staff,1985-10-24,9999-01-01
Development,472790,Zhenbing,Ibel,1965-01-23,M,Senior Engineer,1985-10-29,9999-01-01
Sales,444208,Irena,Cesareni,1965-01-27,M,Senior Staff,1985-10-30,9999-01-01
Development,220029,Demos,Asser,1965-01-17,F,Senior Engineer,1985-11-04,9999-01-01
Development,294461,Siddarth,Rosiles,1965-01-14,F,Senior Engineer,1985-11-18,9999-01-01
Development,21843,Karsten,Azadmanesh,1965-01-09,M,Senior Engineer,1985-11-29,9999-01-01
Sales,79895,Fei,Murtagh,1965-01-30,M,Senior Staff,1986-01-19,9999-01-01
Production,290563,Shigehiro,Oxenboll,1965-01-09,F,Senior Engineer,1986-02-26,9999-01-01
Development,77030,Faiza,Garnham,1965-01-02,F,Technique Leader,1986-03-02,9999-01-01
