dept_no,emp_no,first_name,last_name,birth_date,gender,title,from_date,to_date
d002,287713,Aamod,Ranka,1965-01-23,M,Senior Staff,1992-12-07,9999-01-01
d008,24189,Abdelaziz,Atrawala,1965-01-16,F,Staff,1993-03-28,1997-02-23
d006,247888,Abdelghani,Lagarias,1965-01-15,M,Senior Engineer,1992-09-06,9999-01-01
d009,464303,Abdelghani,Nyrup,1965-01-22,F,Senior Staff,1994-08-02,9999-01-01
d006,217320,Abdelwaheb,Denis,1965-01-10,F,Engineer,1993-09-10,9999-01-01
d004,31207,Abdelwaheb,Dulin,1965-01-30,F,Senior Engineer,1993-08-05,9999-01-01
d006,95692,Abdulah,Hofstetter,1965-01-20,M,Engineer,1999-11-24,2000-07-24
d007,243576,Abdulah,Lodder,1965-01-04,M,Senior Staff,2001-11-10,9999-01-01
d006,221369,Abdulah,Pocchiola,1965-01-28,F,Engineer,1996-08-28,9999-01-01
d007,239244,Abdulla,Kitai,1965-01-13,M,Senior Staff,1996-02-20,9999-01-01
d007,416420,Adamantios,Heemskerk,1965-01-22,M,Senior Staff,1986-08-08,9999-01-01
d007,432031,Adamantios,Matzat,1965-01-11,F,Senior Staff,1993-02-28,9999-01-01
d005,33293,Adamantios,Vanwelkenhuysen,1965-02-01,M,Engineer,2000-01-11,2000-08-18
d007,52386,Adas,Denti,1965-01-28,M,Senior Staff,1995-05-30,9999-01-01
d005,62245,Adel,Bressoud,1965-01-01,F,Engineer,1995-08-30,9999-01-01
d007,236964,Adel,Foote,1965-01-17,M,Staff,1998-08-19,9999-01-01
d004,427852,Adil,Kieras,1965-01-02,F,Senior Engineer,1992-07-20,9999-01-01
d005,18021,Adil,Matzke,1965-01-07,M,Senior Engineer,1995-05-08,9999-01-01
d007,55857,Adin,Scallan,1965-01-18,M,Senior Staff,1996-09-14,9999-01-01
d005,219047,Aemilian,Kusalik,1965-01-30,M,Senior Engineer,1995-05-27,9999-01-01
d005,421039,Aemilian,Zedlitz,1965-01-28,M,Engineer,1988-12-23,1993-07-16
d005,73794,Aiichiro,Castellani,1965-01-26,M,Engineer,1985-08-26,1987-08-19
d004,67934,Aiman,Gargeya,1965-01-07,M,Senior Engineer,1993-03-07,9999-01-01
d004,89680,Aiman,Mawatari,1965-01-27,F,Senior Engineer,1997-05-01,9999-01-01
d005,66807,Aiman,Rosaz,1965-01-21,F,Senior Engineer,1999-05-22,9999-01-01
d005,441651,Aimee,Billawala,1965-01-07,M,Engineer,1989-02-20,1995-08-24
d006,200312,Akemi,Fujisaki,1965-01-27,F,Senior Engineer,1998-06-25,9999-01-01
d001,425535,Alagu,Vieri,1965-01-18,F,Senior Staff,1992-08-22,9999-01-01
d005,416074,Alain,Lieberherr,1965-01-08,M,Senior Engineer,1996-05-10,9999-01-01
d006,52778,Alain,Penn,1965-01-15,M,Technique Leader,1986-05-03,9999-01-01
d009,432121,Alair,Straney,1965-01-06,F,Senior Staff,1992-11-14,9999-01-01
d006,431759,Alassane,Ramsay,1965-02-01,M,Engineer,1987-11-05,1989-04-12
d005,429249,Alassane,Wolniewicz,1965-01-28,M,Senior Engineer,1993-10-06,9999-01-01
d003,201229,Alejandra,Khasidashvili,1965-01-03,M,Staff,1994-07-30,9999-01-01
d007,447232,Aleksander,Schaaf,1965-01-22,M,Senior Staff,2001-05-25,9999-01-01
d003,463495,Alenka,Barriga,1965-01-28,F,Senior Staff,1993-05-06,9999-01-01
d004,89922,Alexius,Ibel,1965-01-26,M,Senior Engineer,1993-04-24,9999-01-01
d003,218299,Almudena,Genin,1965-01-09,M,Senior Staff,1993-09-26,2001-11-06
d005,456824,Aloke,Neiman,1965-01-13,F,Technique Leader,1985-07-10,1996-07-23
d005,233114,Alselm,Gargeya,1965-01-20,M,Senior Engineer,1987-12-25,9999-01-01
d009,430981,Amabile,Koyama,1965-01-24,M,Senior Staff,1990-07-25,1993-05-14
d005,404462,Anestis,Setlzner,1965-01-09,M,Senior Engineer,1991-07-13,9999-01-01
d007,34077,Angel,Sichman,1965-01-08,F,Senior Staff,1997-11-16,9999-01-01
d006,13957,Angus,Chelton,1965-01-10,F,Senior Engineer,1986-04-18,1987-02-02
d006,284954,Anneke,Hammerschmidt,1965-01-16,M,Engineer,1996-01-30,9999-01-01
d004,235368,Anneli,Joslin,1965-01-09,M,Senior Engineer,1987-04-12,9999-01-01
d005,202031,Annemarie,Peternell,1965-01-23,F,Engineer,1994-03-13,1997-06-05
d005,33722,Anwar,Collette,1965-01-15,M,Senior Engineer,1994-03-22,9999-01-01
d007,24553,Anwar,Passafiume,1965-01-12,M,Senior Staff,1994-01-30,9999-01-01
d002,257469,Anyuan,Hanratty,1965-01-22,F,Senior Staff,1996-01-06,9999-01-01
d001,92846,Anyuan,Kropatsch,1965-01-11,M,Senior Staff,1993-09-05,9999-01-01
d004,445456,Apostol,Gruenwald,1965-01-12,M,Engineer,1998-08-04,2000-03-18
d002,482905,Aral,Hebden,1965-01-16,F,Senior Staff,1991-09-10,9999-01-01
d004,214789,Arfst,Chepyzhov,1965-01-28,F,Senior Engineer,1997-02-06,9999-01-01
d004,92438,Aria,Kilgore,1965-01-04,M,Senior Engineer,1996-02-28,9999-01-01
d002,93549,Arie,Coullard,1965-02-01,F,Senior Staff,1998-04-15,9999-01-01
d005,414808,Aris,Sambasivam,1965-01-05,M,Senior Engineer,1993-02-20,1998-05-20
d005,79606,Arnd,Peir,1965-01-03,F,Senior Engineer,1986-12-11,9999-01-01
d004,453723,Arne,Kohling,1965-01-15,F,Senior Engineer,1993-12-13,9999-01-01
d004,53924,Arnould,Gaughan,1965-01-27,F,Senior Engineer,1998-01-23,9999-01-01
d004,70990,Arumugam,Nitta,1965-01-22,F,Senior Engineer,1990-03-23,9999-01-01
d004,96767,Arumugam,Vecchio,1965-01-07,F,Senior Engineer,1992-08-14,9999-01-01
d007,418717,Arunachalam,Magliocco,1965-01-20,F,Senior Staff,1992-12-22,9999-01-01
d007,244873,Arunachalam,Oppitz,1965-01-04,M,Senior Staff,1994-05-20,9999-01-01
d005,432261,Arve,Bergere,1965-01-30,F,Senior Engineer,1994-07-28,9999-01-01
d008,204246,Arve,Worfolk,1965-01-09,M,Senior Staff,1990-04-01,9999-01-01
d001,294527,Ashish,Candan,1965-01-04,F,Senior Staff,1992-02-02,9999-01-01
d007,78106,Ashish,Ratnaker,1965-01-09,M,Senior Staff,1986-11-10,9999-01-01
d004,35642,Ashish,Talmon,1965-01-30,F,Senior Engineer,2002-06-13,9999-01-01
d004,241667,Atilio,Olivero,1965-01-28,M,Senior Engineer,1992-09-04,9999-01-01
