dept_no,emp_no,first_name,last_name,title,birth_date,gender,from_date,to_date,salary
d007,10095,Hilari,Morton,Senior Staff,1965-01-03,M,2000-03-09,9999-01-01,63668
d007,10095,Hilari,Morton,Staff,1965-01-03,M,1994-03-10,2000-03-09,63668
d007,10291,Dipayan,Seghrouchni,Senior Staff,1965-01-23,M,1994-03-30,9999-01-01,57430
d007,10291,Dipayan,Seghrouchni,Staff,1965-01-23,M,1987-03-30,1994-03-30,57430
d008,10476,Kokou,Iisaka,Senior Staff,1965-01-01,M,1994-09-20,9999-01-01,58221
d008,10476,Kokou,Iisaka,Staff,1965-01-01,M,1987-09-20,1994-09-20,58221
d002,10480,Make,Baba,Staff,1965-01-25,F,1988-05-18,1989-06-03,55669
d005,11157,Mario,Cochrane,Engineer,1965-02-01,M,1985-03-30,1991-02-06,50629
d004,11432,Yongmao,Zwicker,Engineer,1965-01-15,M,1987-10-19,1996-10-18,40208
d004,11432,Yongmao,Zwicker,Senior Engineer,1965-01-15,M,1996-10-18,1997-09-13,40208
d004,13499,Kazuhiko,Sidou,Technique Leader,1965-01-16,M,1991-09-01,9999-01-01,40000
d006,13957,Angus,Chelton,Senior Engineer,1965-01-10,F,1986-04-18,1987-02-02,62604
d003,14104,Sudhanshu,Demian,Senior Staff,1965-01-03,M,1999-07-23,9999-01-01,40327
d003,14104,Sudhanshu,Demian,Staff,1965-01-03,M,1994-07-23,1999-07-23,40327
d007,14551,Richard,Sinitsyn,Senior Staff,1965-01-18,M,1993-06-27,1993-09-16,83296
d007,14907,Nakhoon,Luga,Senior Staff,1965-01-14,M,1994-12-18,9999-01-01,69351
d007,14907,Nakhoon,Luga,Staff,1965-01-14,M,1986-12-18,1994-12-18,69351
d002,15058,Bouchung,Bugrara,Senior Staff,1965-01-30,M,1998-06-18,9999-01-01,62294
d002,15058,Bouchung,Bugrara,Staff,1965-01-30,M,1990-06-18,1998-06-18,62294
d008,15376,Geoff,Soicher,Senior Staff,1965-01-10,M,1996-08-14,2001-03-01,40000
d008,15376,Geoff,Soicher,Staff,1965-01-10,M,1988-08-14,1996-08-14,40000
d007,16461,Remmert,Schahn,Senior Staff,1965-01-14,M,1994-09-06,9999-01-01,83638
d007,16461,Remmert,Schahn,Staff,1965-01-14,M,1986-09-06,1994-09-06,83638
d004,17206,Berry,DeMori,Engineer,1965-01-02,M,1992-12-27,1998-12-27,40000
d004,17206,Berry,DeMori,Senior Engineer,1965-01-02,M,1998-12-27,9999-01-01,40000
d008,17618,Teiji,Picco,Staff,1965-01-12,F,1992-09-17,1999-11-08,40000
d005,18021,Adil,Matzke,Engineer,1965-01-07,M,1987-05-08,1995-05-08,40000
d005,18021,Adil,Matzke,Senior Engineer,1965-01-07,M,1995-05-08,9999-01-01,40000
d005,18424,Filipp,Rousseau,Engineer,1965-01-19,M,1995-06-07,2002-06-07,40000
d005,18424,Filipp,Rousseau,Senior Engineer,1965-01-19,M,2002-06-07,9999-01-01,40000
d003,18617,Surveyors,Crouzet,Senior Staff,1965-01-21,M,1998-04-24,9999-01-01,40000
d003,18617,Surveyors,Crouzet,Staff,1965-01-21,M,1989-04-24,1998-04-24,40000
d005,18810,Taiji,Jarecki,Engineer,1965-01-09,M,1991-06-27,1999-06-27,40000
d005,18810,Taiji,Jarecki,Senior Engineer,1965-01-09,M,1999-06-27,9999-01-01,40000
d004,19236,Elzbieta,Morris,Engineer,1965-01-24,F,1988-07-12,1993-07-12,67760
d004,19236,Elzbieta,Morris,Senior Engineer,1965-01-24,F,1993-07-12,9999-01-01,67760
d005,19803,Ziva,Kowalchuk,Engineer,1965-01-30,F,1987-06-13,1992-06-12,71465
d005,19803,Ziva,Kowalchuk,Senior Engineer,1965-01-30,F,1992-06-12,9999-01-01,71465
d001,20100,Utz,Heuter,Senior Staff,1965-01-18,F,1995-06-15,9999-01-01,64100
d001,20100,Utz,Heuter,Staff,1965-01-18,F,1986-06-15,1995-06-15,64100
d003,20720,Heejo,Brodie,Senior Staff,1965-01-17,M,1996-12-27,1997-05-17,40000
d004,21181,Jianhui,Cangellaris,Assistant Engineer,1965-01-21,F,1991-10-06,1999-10-06,60114
d004,21181,Jianhui,Cangellaris,Engineer,1965-01-21,F,1999-10-06,9999-01-01,60114
d001,21546,Yongmin,Lanteri,Senior Staff,1965-01-01,F,1988-02-16,9999-01-01,75391
d007,21546,Yongmin,Lanteri,Senior Staff,1965-01-01,F,1988-02-16,9999-01-01,75391
d005,21843,Karsten,Azadmanesh,Senior Engineer,1965-01-09,M,1985-11-29,9999-01-01,52216
d007,22415,Perla,Jumpertz,Senior Staff,1965-01-20,M,1994-08-24,9999-01-01,69277
d005,22451,Jasminko,Bresenham,Senior Staff,1965-01-27,M,1996-12-15,9999-01-01,40000
d008,22451,Jasminko,Bresenham,Senior Staff,1965-01-27,M,1996-12-15,9999-01-01,40000
d005,22451,Jasminko,Bresenham,Staff,1965-01-27,M,1987-12-16,1996-12-15,40000
d008,22451,Jasminko,Bresenham,Staff,1965-01-27,M,1987-12-16,1996-12-15,40000
d001,22455,Barry,Unno,Senior Staff,1965-01-06,F,1999-11-16,9999-01-01,69644
d001,22455,Barry,Unno,Staff,1965-01-06,F,1990-11-16,1999-11-16,69644
d004,22502,Rutger,Binkley,Senior Engineer,1965-01-29,M,1989-10-16,2001-11-02,57324
d004,22926,Manibrata,Genther,Engineer,1965-01-01,M,1988-01-15,1996-01-15,56184
d004,22926,Manibrata,Genther,Senior Engineer,1965-01-01,M,1996-01-15,9999-01-01,56184
d004,23396,Hilari,Fairtlough,Technique Leader,1965-01-02,F,1986-12-15,9999-01-01,55806
d008,24189,Abdelaziz,Atrawala,Staff,1965-01-16,F,1993-03-28,1997-02-23,40000
d005,24205,Roddy,Rubsam,Senior Engineer,1965-01-25,F,1993-09-19,9999-01-01,49424
d007,24394,Zhonghui,Conta,Staff,1965-01-04,M,1994-09-10,9999-01-01,55035
d007,24553,Anwar,Passafiume,Senior Staff,1965-01-12,M,1994-01-30,9999-01-01,58459
d007,24553,Anwar,Passafiume,Staff,1965-01-12,M,1987-01-30,1994-01-30,58459
d007,26476,Bilhanan,Karcich,Staff,1965-01-19,M,1996-04-09,1997-02-04,69850
d005,26617,Berto,Bruckman,Engineer,1965-01-06,M,1991-11-23,1994-03-27,46589
d005,26788,Zongyan,Dalphin,Engineer,1965-01-25,M,1988-04-23,1993-04-23,40000
d005,26788,Zongyan,Dalphin,Senior Engineer,1965-01-25,M,1993-04-23,9999-01-01,40000
d007,27686,Manu,Rosiles,Senior Staff,1965-01-28,M,1998-03-03,9999-01-01,62592
d004,27970,KayLiang,Miyakawa,Technique Leader,1965-01-12,F,1995-11-22,2000-02-07,40000
d005,28193,Xinglin,Mitsuhashi,Engineer,1965-01-29,M,1988-12-14,1997-12-14,40490
d005,28193,Xinglin,Mitsuhashi,Senior Engineer,1965-01-29,M,1997-12-14,9999-01-01,40490
d005,28974,Chenxi,Sundgren,Senior Engineer,1965-01-09,F,1986-09-02,9999-01-01,40000
d009,29265,Gilbert,Calkin,Senior Staff,1965-01-14,M,1994-03-21,9999-01-01,40000
d009,29265,Gilbert,Calkin,Staff,1965-01-14,M,1988-03-21,1994-03-21,40000
d004,29418,Valery,Mersereau,Assistant Engineer,1965-01-22,M,1998-07-01,9999-01-01,57496
d005,29679,Kolar,Steenbeek,Senior Engineer,1965-01-17,M,1986-10-18,9999-01-01,44381
d005,30154,Mayuko,Skafidas,Technique Leader,1965-01-26,M,1999-04-19,9999-01-01,40000
d005,30182,Leon,Potthoff,Engineer,1965-01-26,M,1985-12-08,1993-12-08,61572
d005,30182,Leon,Potthoff,Senior Engineer,1965-01-26,M,1993-12-08,9999-01-01,61572
d005,30465,Randi,Avouris,Engineer,1965-01-28,M,1986-07-16,1991-07-16,41895
d005,30465,Randi,Avouris,Senior Engineer,1965-01-28,M,1991-07-16,9999-01-01,41895
d005,30552,Yishai,Terlouw,Engineer,1965-01-18,F,1986-09-19,1992-09-18,40000
d005,30552,Yishai,Terlouw,Senior Engineer,1965-01-18,F,1992-09-18,1999-01-07,40000
d001,30938,Yakkov,Samarati,Senior Staff,1965-01-06,F,2000-05-22,9999-01-01,43593
d007,30938,Yakkov,Samarati,Senior Staff,1965-01-06,F,2000-05-22,9999-01-01,43593
d001,30938,Yakkov,Samarati,Staff,1965-01-06,F,1995-05-23,2000-05-22,43593
d007,30938,Yakkov,Samarati,Staff,1965-01-06,F,1995-05-23,2000-05-22,43593
d008,31170,Tuval,Waleschkowski,Senior Staff,1965-01-08,M,1987-10-16,1988-12-14,54779
d004,31207,Abdelwaheb,Dulin,Senior Engineer,1965-01-30,F,1993-08-05,9999-01-01,40000
d001,31568,Mark,Lalonde,Staff,1965-01-10,M,1996-11-24,9999-01-01,67061
d004,31629,Toong,Veldwijk,Assistant Engineer,1965-01-24,M,1986-07-28,1995-07-28,73023
d004,31629,Toong,Veldwijk,Engineer,1965-01-24,M,1995-07-28,1996-04-26,73023
d001,32347,Terresa,Peres,Senior Staff,1965-01-08,M,1997-09-15,9999-01-01,66965
d001,32347,Terresa,Peres,Staff,1965-01-08,M,1990-09-15,1997-09-15,66965
d008,32649,Ingmar,Nannarelli,Senior Staff,1965-01-12,M,1988-06-10,9999-01-01,51124
d001,32714,Radoslaw,Maliniak,Staff,1965-01-16,M,1997-11-17,9999-01-01,82622
d007,32714,Radoslaw,Maliniak,Staff,1965-01-16,M,1997-11-17,9999-01-01,82622
d005,33293,Adamantios,Vanwelkenhuysen,Assistant Engineer,1965-02-01,M,1994-01-11,2000-01-11,40000
d005,33293,Adamantios,Vanwelkenhuysen,Engineer,1965-02-01,M,2000-01-11,2000-08-18,40000
d001,33606,Clyde,Swift,Staff,1965-01-02,M,1994-11-14,1996-12-29,61733
d005,33722,Anwar,Collette,Senior Engineer,1965-01-15,M,1994-03-22,9999-01-01,40000
d008,33722,Anwar,Collette,Senior Engineer,1965-01-15,M,1994-03-22,9999-01-01,40000
d007,34077,Angel,Sichman,Senior Staff,1965-01-08,F,1997-11-16,9999-01-01,50005
d007,34077,Angel,Sichman,Staff,1965-01-08,F,1988-11-16,1997-11-16,50005
d005,34446,Chinhyun,Bauknecht,Senior Engineer,1965-01-31,M,1986-12-19,9999-01-01,40000
d004,34452,Naftaly,Foong,Engineer,1965-01-08,M,1991-05-10,2000-05-09,50679
d004,34452,Naftaly,Foong,Senior Engineer,1965-01-08,M,2000-05-09,9999-01-01,50679
d004,34533,Erzsebet,Shigei,Senior Engineer,1965-01-10,M,1991-01-21,9999-01-01,40829
d006,34533,Erzsebet,Shigei,Senior Engineer,1965-01-10,M,1991-01-21,9999-01-01,40829
d004,35044,Jiang,Waschkowski,Engineer,1965-01-04,F,1989-05-27,1997-05-27,52310
d004,35044,Jiang,Waschkowski,Senior Engineer,1965-01-04,F,1997-05-27,9999-01-01,52310
d005,35441,Chandrasekaran,Peek,Engineer,1965-01-31,F,1988-02-07,1993-02-06,48152
d008,35441,Chandrasekaran,Peek,Engineer,1965-01-31,F,1988-02-07,1993-02-06,48152
d005,35441,Chandrasekaran,Peek,Senior Engineer,1965-01-31,F,1993-02-06,9999-01-01,48152
d008,35441,Chandrasekaran,Peek,Senior Engineer,1965-01-31,F,1993-02-06,9999-01-01,48152
d004,35642,Ashish,Talmon,Engineer,1965-01-30,F,1995-06-13,2002-06-13,40000
d006,35642,Ashish,Talmon,Engineer,1965-01-30,F,1995-06-13,2002-06-13,40000
d004,35642,Ashish,Talmon,Senior Engineer,1965-01-30,F,2002-06-13,9999-01-01,40000
d006,35642,Ashish,Talmon,Senior Engineer,1965-01-30,F,2002-06-13,9999-01-01,40000
d005,35798,Ulf,Oberman,Senior Engineer,1965-01-29,F,1997-03-15,9999-01-01,41160
d002,36521,Serif,Gladwell,Senior Staff,1965-01-21,M,1993-03-05,9999-01-01,57111
d002,36521,Serif,Gladwell,Staff,1965-01-21,M,1987-03-06,1993-03-05,57111
d007,36626,Fen,Genin,Senior Staff,1965-01-02,M,1986-05-09,9999-01-01,48437
d006,36982,Kotesh,Rajala,Engineer,1965-01-22,M,1992-06-23,2000-06-23,40000
d006,36982,Kotesh,Rajala,Senior Engineer,1965-01-22,M,2000-06-23,9999-01-01,40000
d009,37070,Jeong,Undy,Senior Staff,1965-01-22,F,1993-02-13,9999-01-01,43215
d009,37070,Jeong,Undy,Staff,1965-01-22,F,1985-02-13,1993-02-13,43215
d005,37592,Berni,Stranks,Engineer,1965-02-01,M,1985-11-05,1992-09-19,69900
d004,37719,Nakhoon,Buescher,Assistant Engineer,1965-01-31,M,1988-06-12,1997-06-12,51093
d004,37719,Nakhoon,Buescher,Engineer,1965-01-31,M,1997-06-12,1999-01-17,51093
d005,37945,Suzette,Butterworth,Senior Engineer,1965-01-02,M,1994-02-19,9999-01-01,40000
d005,38043,Michaela,Randi,Engineer,1965-01-05,M,1985-11-23,1994-11-23,49927
d005,38043,Michaela,Randi,Senior Engineer,1965-01-05,M,1994-11-23,9999-01-01,49927
d004,38103,Masasuke,Babu,Engineer,1965-01-12,M,1988-03-31,1993-03-31,48383
d004,38103,Masasuke,Babu,Senior Engineer,1965-01-12,M,1993-03-31,9999-01-01,48383
d007,38168,Fumiko,Deverell,Senior Staff,1965-01-14,M,1996-08-14,9999-01-01,40000
d007,38168,Fumiko,Deverell,Staff,1965-01-14,M,1987-08-15,1996-08-14,40000
d006,38550,JoAnne,Baez,Senior Engineer,1965-01-14,F,1987-02-16,9999-01-01,40000
d004,38593,Huei,Orsini,Engineer,1965-01-14,M,1986-06-04,1995-06-04,60124
d004,38593,Huei,Orsini,Senior Engineer,1965-01-14,M,1995-06-04,9999-01-01,60124
d004,39268,Constantijn,Awdeh,Engineer,1965-01-10,M,1987-10-20,1990-06-10,52535
d004,39341,Mahmut,Lampe,Engineer,1965-01-01,F,1985-05-11,1994-05-11,50645
d004,39341,Mahmut,Lampe,Senior Engineer,1965-01-01,F,1994-05-11,9999-01-01,50645
d007,39952,Otmar,Sudbeck,Staff,1965-01-02,M,1998-07-22,9999-01-01,80468
d007,40269,Toshiki,Ghazalie,Senior Staff,1965-01-10,F,2000-12-04,9999-01-01,70370
d007,40269,Toshiki,Ghazalie,Staff,1965-01-10,F,1991-12-05,2000-12-04,70370
d005,40283,Sudhanshu,Boissier,Engineer,1965-01-07,M,1985-05-11,1993-05-11,40000
d005,40283,Sudhanshu,Boissier,Senior Engineer,1965-01-07,M,1993-05-11,9999-01-01,40000
d004,40301,Spyrose,Felder,Senior Engineer,1965-01-20,M,1996-06-16,9999-01-01,40000
d009,40301,Spyrose,Felder,Senior Engineer,1965-01-20,M,1996-06-16,9999-01-01,40000
d005,40536,Harngdar,Bernardinello,Engineer,1965-01-20,F,1988-02-29,1996-02-29,49948
d005,40536,Harngdar,Bernardinello,Senior Engineer,1965-01-20,F,1996-02-29,9999-01-01,49948
d009,40773,Shimshon,Aingworth,Senior Staff,1965-01-09,M,1991-04-13,9999-01-01,40000
d009,40773,Shimshon,Aingworth,Staff,1965-01-09,M,1986-04-13,1991-04-13,40000
d005,40983,Marla,Cherinka,Technique Leader,1965-01-17,F,1986-12-01,9999-01-01,40000
d004,41114,Petter,Thummel,Technique Leader,1965-01-25,M,1995-12-24,9999-01-01,60729
d007,41137,Bikash,Buchter,Senior Staff,1965-01-20,F,1992-11-22,9999-01-01,71921
d009,41137,Bikash,Buchter,Senior Staff,1965-01-20,F,1992-11-22,9999-01-01,71921
d007,41137,Bikash,Buchter,Staff,1965-01-20,F,1987-11-23,1992-11-22,71921
d009,41137,Bikash,Buchter,Staff,1965-01-20,F,1987-11-23,1992-11-22,71921
d005,41520,Xiong,Uhrik,Senior Engineer,1965-01-20,M,1988-03-21,9999-01-01,44818
d007,41609,Yucai,Simmen,Senior Staff,1965-01-04,F,1987-10-13,9999-01-01,60396
d003,42778,Shuji,Remmers,Senior Staff,1965-01-19,F,1996-12-17,9999-01-01,40000
d003,42778,Shuji,Remmers,Staff,1965-01-19,F,1987-12-18,1996-12-17,40000
d001,43358,Ottavia,Mitsuhashi,Staff,1965-01-07,F,1989-08-18,1996-07-13,63651
d003,43733,Huei,Boguraev,Senior Staff,1965-01-26,M,1998-12-31,9999-01-01,40000
d003,43733,Huei,Boguraev,Staff,1965-01-26,M,1993-12-31,1998-12-31,40000
d005,44540,Mingzeng,Sadowski,Senior Engineer,1965-01-16,F,1989-11-12,9999-01-01,40000
